dem13,app13,acc13,dem10,app10,acc10,dem05,app05,acc05,dem00,app00,acc00,dem95,app95,acc95,dem90,app90,acc90
6.60,6.01,4.32,6.60,5.80,4.32,6.70,4.50,3.47,6.70,4.22,3.30,7.40,5.01,4.41,7.40,4.77,4.70
1.70,0.71,0.62,1.70,0.87,0.87,1.00,0.62,0.62,1.00,0.66,0.62,0.80,1.00,1.03,0.80,0.84,0.90
14.10,31.16,35.95,14.10,32.47,33.96,10.90,32.45,33.46,10.90,32.33,33.27,9.60,31.45,31.53,9.60,26.01,26.13
38.40,32.09,27.84,38.40,24.87,22.94,32.40,18.70,17.09,32.40,14.62,13.75,25.80,16.04,15.85,25.80,13.45,14.35
39.00,27.03,27.94,39.00,30.59,32.45,46.70,37.00,38.55,46.70,38.62,39.47,57.20,40.26,40.88,57.20,50.32,49.17
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
